DATE,COMNAM,PERMNO,PERMCO
19860107,OPTIMUM MANUFACTURING INC,10000,7952
19860109,GREAT FALLS GAS CO,10001,7953
19931122,ENERGY WEST INC,10001,7953
20090804,ENERGY INC,10001,7953
20100709,GAS NATURAL INC,10001,7953
19860110,MOBILE NATIONAL CORP,10002,7954
19930930,SOUTH ALABAMA BANCORPORATION INC,10002,7954
20020515,BANCTRUST FINANCIAL GROUP INC,10002,7954
19860114,GREAT COUNTRY BK ASONIA CT,10003,7957
19860115,CLOSE OUTS PLUS INC,10004,7960
19860115,WESTERN ENERGY RESOURCES INC,10005,7961
19251231,AMERICAN CAR & FDRY CO,10006,22156
19540601,A C F INDUSTRIES INC,10006,22156
19860116,SHAREDATA INC,10007,7963
19860116,GARDENAMERICA CORP,10008,7964
19860117,CAYUGA SAVINGS BANK NY,10009,7965
19900302,IROQUOIS BANCORP INC,10009,7965
19860117,CABOT MEDICAL CORP,10010,7967
19880608,A T C ENVIRONMENTAL INC,10011,9813
19961018,A T C GROUP SERVICES INC,10011,9813
19860122,DENSE PACIFIC MICROSYSTEMS INC,10012,7969
20010821,D P A C TECHNOLOGIES CORP,10012,7969
19860122,ARIZONA APPETITOS STORES INC,10013,7825
19260104,ALASKA JUNEAU GOLD MNG CO,10014,22157
19590626,A J INDUSTRIES INC,10014,22157
19830920,A & M FOOD SERVICES INC,10015,6398
19860124,FIGGIE INTERNATIONAL HLDGS INC,10016,1728
19861229,FIGGIE INTERNATIONAL INC DEL,10016,1728
19980526,SCOTT TECHNOLOGIES INC,10016,1728
19860124,CONCURRENT COMPUTER CORP,10017,7970
19860124,DELTA COMPUTEC INC,10018,7943
19860124,I F R SYSTEMS INC,10019,7971
19860127,KEY CENTURION BANCSHARES,10020,7972
19860127,BRAINERD INTERNATIONAL INC,10021,7973
19251231,AMERICAN SAFETY RAZOR CORP,10022,22158
19570701,A S R PRODS CORP,10022,22158
19721214,A A I CORP,10023,22159
19860129,DOCUGRAPHIX INC,10024,7663
19860130,A E P INDUSTRIES INC,10025,7975
19860204,J & J SNACK FOODS CORP,10026,7976
19860204,TELECOMMUNICATIONS NETWORK INC,10027,7977
19860205,CANYON STATE CORP,10028,7978
19860625,AMERICAN PACIFIC MINT INC,10028,7978
19920724,DALLAS GOLD & SILVER EXCHANGE IN,10028,7978
20010705,D G S E COMPANIES INC,10028,7978
20191218,ENVELA CORP,10028,7978
19860205,A I F S INC,10029,7979
19251231,AMERICAN BRAKE SHOE & FDRY,10030,22160
19430427,AMERICAN BRAKE SHOE CO,10030,22160
19660506,ABEX CORP,10030,22160
19831207,A A IMPORTING INC,10031,6672
19860205,PLEXUS CORP,10032,7980
19860205,MIDAMERICA BANCSYSTEM INC,10033,7981
19860206,HOME & CITY SVGS BK ALBANY NY,10034,7982
19860206,GOOD GUYS INC,10035,7983
19860206,NEUROTECH CORP,10036,7984
19860206,FRANKLIN S & L ASSN STHPLD MI,10037,7985
19881130,FRANKLIN SAVINGS BANK FSB,10037,7985
19910903,FRANKLIN BANK NATL ASSOC,10037,7985
20021024,FRANKLIN BANCORP INC,10037,7985
19860206,PORTS OF CALL INC,10038,7986
19900521,P O C I INC,10038,7986
19860207,XIOX CORP,10039,7987
20000403,AT COMM CORP,10039,7987
19860207,HARVARD SECURITIES GROUP PLC,10040,7988
19880621,HARVARD GROUP PLC,10040,7988
19860207,4G DATA SYSTEMS INC,10041,7989
19860207,CANYON RESOURCES CORP,10042,7990
19860211,ANALYSIS & TECHNOLOGY INC,10043,7991
19860211,ROCKY MOUNTAIN CHOCOLATE FAC INC,10044,7992
20150302,ROCKY MOUNTAIN CHOC FAC INC NEW,10044,7992
19860211,OLIVERS STORES INC,10045,7993
19860214,COMMERCIAL PROGRAMMING UNLMTD,10046,7994
19940801,UNIVERSAL FRANCHISE OPPTYS CORP,10046,7994
19860211,TEXSTYRENE CORP,10047,7995
19891023,ARIS CORP,10047,7995
19910416,LAMONTS CORP,10047,7995
19921102,LAMONTS APPAREL INC,10047,7995
19860212,CENTURY COMMUNICATIONS CORP,10048,7996
19251231,ABITIBI POWER & PAPER LTD,10049,22161
19721229,AMERICAN BLDGS CO,10050,13
19780103,A B C INVESTMENT CO,10050,13
19860214,SEQUEL CORP,10051,7999
19890814,HANGER ORTHOPEDIC GROUP INC,10051,7999
20120614,HANGER INC,10051,7999
19860214,VIDEO LIBRARY INC,10052,8000
19860214,CARDINAL INDUSTRIES INC,10053,8001
19860214,BIO NUTRIONICS INC,10054,8002
19860214,GREAT AMERICAN RECREATION INC,10055,8003
